Model,R2,MAE,MSE,RMSE
Linear Regression,0.54665472740731,3.4330875484252337,50.636361139505794,7.115923070094687
Random Forest,0.594260554196664,3.0548334095561405,45.3190324203503,6.731941207434175
XGBoost,0.6747292617489482,2.944171845115848,36.33108706747658,6.02752744228316
